location_id,location_name,method,rod,time_of_day,encounter_rate,pokemon,min_level,max_level
124,Iron Island,grass,,any,20,Mawile,56,56
198,Underground,grass,,any,20,Diglett,45,45
199,Underground,grass,,any,20,Bellossom,45,45
200,Underground,grass,,any,20,Torkoal,45,45
201,Underground,grass,,any,20,Snorunt,45,45
125,Old Chateau,grass,,any,20,Gastly,46,46
126,Old Chateau,grass,,any,20,Sableye,46,46
127,Old Chateau,grass,,any,20,Gastly,36,36
128,Old Chateau,grass,,any,20,Haunter,46,46
129,Old Chateau,grass,,any,20,Gastly,14,14
130,Old Chateau,grass,,any,20,Drowzee,46,46
131,Old Chateau,grass,,any,20,Drowzee,46,46
132,Old Chateau,grass,,any,20,Misdreavus,46,46
133,Old Chateau,grass,,any,20,Misdreavus,46,46
151,Lost Tower 1F,grass,,any,20,Whismur,24,24
152,Lost Tower 2F,grass,,any,20,Raticate,46,46
153,Lost Tower 3F,grass,,any,20,Golbat,66,66
154,Lost Tower 4F,grass,,any,20,Persian,78,78
155,Lost Tower 5F,grass,,any,20,Crobat,86,86
195,Lake Valor,grass,,any,20,Magikarp,44,44
20,Mt. Coronet,grass,,any,20,Chimecho,65,65
21,Mt. Coronet,grass,,any,20,Chimecho,65,65
165,Route 216,grass,,any,20,Mightyena,65,65
166,Route 217,grass,,any,20,Ursaring,70,70
139,Acuity Lakefront,grass,,any,20,Absol,65,65
107,Snowpoint Temple,grass,,any,20,Mawile,75,75
108,Snowpoint Temple,grass,,any,20,Mawile,75,75
109,Snowpoint Temple,grass,,any,20,Mawile,75,75
110,Snowpoint Temple,grass,,any,20,Mawile,75,75
111,Snowpoint Temple,grass,,any,20,Mawile,75,75
172,Route 225,grass,,any,20,Mawile,65,65
173,Route 227,grass,,any,20,Spinda,55,55
174,Route 228,grass,,any,20,Quagsire,55,55
175,Route 229,grass,,any,20,Volbeat,65,65
181,Route 226,grass,,any,20,Machoke,55,55
182,Route 230,grass,,any,20,Togepi,55,55
56,Stark Mountain,grass,,any,20,Rapidash,95,95
57,Stark Mountain,grass,,any,20,Torkoal,90,90
170,Route 222,grass,,any,20,Chatot,50,50
3,Sunyshore City,grass,,any,20,Wingull,85,85
169,Route 221,grass,,any,20,Miltank,90,90
161,Route 212,grass,,any,20,Stantler,55,55
113,Wayward Cave,grass,,any,20,Spinda,55,55
112,Wayward Cave,grass,,any,20,Rhydon,75,75
137,Lake Acuity,grass,,any,20,Absol,65,65
11,Mt Coronet 2f,grass,,any,20,Electrode,90,90
12,Mt Coronet 3f,grass,,any,20,Wobbuffet,90,90
13,Coronet Highlands,grass,,any,20,Absol,100,100
14,Coronet Highlands,grass,,any,20,Absol,100,100
15,Coronet Highlands,grass,,any,20,Dugtrio,100,100
16,Coronet Highlands,grass,,any,20,Wobbuffet,100,100
19,Celestica Ruins,grass,,any,20,Bagon,65,65
17,Coronet Highlands,grass,,any,20,Wobbuffet,100,100
18,Coronet Highlands,grass,,any,20,Wobbuffet,100,100
190,Distortion World Area 1,grass,,any,20,Nidoking,55,55
191,Distortion World Area 2,grass,,any,20,Crobat,100,100
192,Distortion World Area 3,grass,,any,20,Dugtrio,65,65
59,Sendoff Spring,grass,,any,20,Gengar,65,65
63,Turnback Cave,grass,,any,20,Chingling,66,66
79,Turnback Cave,grass,,any,20,Sableye,66,66
59,Sendoff Spring,grass,,any,20,Gengar,65,65
47,Victory Road,grass,,any,20,Mightyena,97,97
48,Victory Road,grass,,any,20,Nidoking,100,100
49,Victory Road,grass,,any,20,Aggron,100,100
50,Victory Road,grass,,any,20,Aggron,100,100
51,Victory Road,grass,,any,20,Aggron,100,100
52,Victory Road,grass,,any,20,Wobbuffet,100,100
171,Route 224,grass,,any,20,Meganium,65,65
136,Lake Valor,grass,,any,20,Stantler,75,75
4,Pokémon League,grass,,any,20,Torterra,75,75
176,Twinleaf Town,grass,,any,20,Delibird,8,8
140,Route 201,grass,,any,20,Delibird,4,4
140,Verity Lakefront,grass,,any,20,Delibird,4,4
134,Lake Verity,grass,,any,20,Bidoof,3,3
135,Lake Verity,grass,,any,20,Bidoof,4,4
187,Sandgem Town,grass,,any,20,Igglybuff,5,5
141,Route 202,grass,,any,20,Burmy,5,5
143,Route 204 South,grass,,any,20,Seedot,9,9
53,Ravaged Path,grass,,any,20,Sandshrew,7,7
167,Route 218,grass,,any,20,Sealeo,30,30
142,Route 203,grass,,any,20,Shinx,8,8
54,Oreburgh Gate 1F,grass,,any,20,Chingling,5,5
55,Oreburgh Gate B1F,grass,,any,20,Geodude,5,5
183,Oreburgh City,grass,,any,20,Koffing,10,10
148,Route 207,grass,,any,20,Vulpix,11,11
5,Oreburgh Mine,grass,,any,20,Sandshrew,10,10
184,Jubilife City,grass,,any,20,Koffing,16,16
144,Route 204 North,grass,,any,20,Chikorita,14,14
185,Floaroma Town,grass,,any,20,Cascoon,15,15
7,Valley Windworks,grass,,any,20,Hoppip,17,17
145,Route 205 South,grass,,any,20,Bidoof,15,15
8,Eterna Forest,grass,,any,20,Roselia,23,23
146,Route 205 North,grass,,any,20,Pachirisu,20,20
1,Eterna City,grass,,any,20,Weepinbell,20,20
158,Route 211 West,grass,,any,20,Chingling,17,17
147,Route 206,grass,,any,20,Phanpy,23,23
10,Mt. Coronet 1F,grass,,any,20,Geodude,24,24
149,Route 208,grass,,any,20,Linoone,18,18
,Amity Square,grass,,any,20,Jigglypuff,20,20
150,Route 209,grass,,any,20,Mareep,36,36
188,Solaceon Town,grass,,any,20,Grumpig,38,38
31,Solaceon Ruins,grass,,any,20,Xatu,37,37
156,Route 210 South,grass,,any,20,Venomoth,41,41
164,Route 215,grass,,any,20,Golduck,42,42
163,Route 214,grass,,any,20,Machoke,45,45
116,Maniac Tunnel,grass,,any,20,Geodude,45,45
138,Valor Lakefront,grass,,any,20,Rapidash,47,47
197,Restaurant,grass,,any,20,Rattata,25,25
162,Route 213,grass,,any,20,Tropius,100,100
2,Pastoria City,grass,,any,20,Croagunk,49,49
23,Great Marsh,grass,,any,20,Scyther,50,50
24,Great Marsh,grass,,any,20,Absol,50,50
25,Great Marsh,grass,,any,20,Stantler,50,50
26,Great Marsh,grass,,any,20,Carnivine,50,50
27,Great Marsh,grass,,any,20,Pinsir,50,50
28,Great Marsh,grass,,any,20,Venusaur,50,50
9,Fuego Ironworks,grass,,any,20,Torkoal,55,55
196,Floroma Meadow,grass,,any,20,Bellossom,60,60
157,Clamberclaw Cliffs,grass,,any,20,Mothim,45,45
177,Celestic Town,grass,,any,20,Delcatty,55,55
159,Route 211,grass,,any,20,Chimecho,55,55
21,Mt. Coronet,grass,,any,20,Nosepass,65,65
122,Iron Island,grass,,any,20,Sudowoodo,56,56
123,Iron Island,grass,,any,20,Graveler,56,56
124,Iron Island,grass,,any,20,Hariyama,56,56
198,Underground,grass,,any,20,Sandshrew,45,45
199,Underground,grass,,any,20,Sudowoodo,45,45
200,Underground,grass,,any,20,Kecleon,45,45
201,Underground,grass,,any,20,Spinda,45,45
125,Old Chateau,grass,,any,20,Gastly,16,16
126,Old Chateau,grass,,any,20,Snorunt,16,16
127,Old Chateau,grass,,any,20,Gastly,36,36
128,Old Chateau,grass,,any,20,Gastly,16,16
129,Old Chateau,grass,,any,20,Gastly,15,15
130,Old Chateau,grass,,any,20,Gastly,16,16
131,Old Chateau,grass,,any,20,Gastly,16,16
132,Old Chateau,grass,,any,20,Gastly,16,16
133,Old Chateau,grass,,any,20,Gastly,16,16
151,Lost Tower 1F,grass,,any,20,Whismur,24,24
152,Lost Tower 2F,grass,,any,20,Chimecho,46,46
153,Lost Tower 3F,grass,,any,20,Golbat,66,66
154,Lost Tower 4F,grass,,any,20,Golbat,78,78
155,Lost Tower 5F,grass,,any,20,Hypno,86,86
195,Lake Valor,grass,,any,20,Magikarp,33,33
20,Mt. Coronet,grass,,any,20,Nosepass,65,65
21,Mt. Coronet,grass,,any,20,Nosepass,65,65
165,Route 216,grass,,any,20,Machoke,65,65
166,Route 217,grass,,any,20,Piloswine,70,70
139,Acuity Lakefront,grass,,any,20,Ursaring,65,65
107,Snowpoint Temple,grass,,any,20,Bronzor,75,75
108,Snowpoint Temple,grass,,any,20,Bronzor,75,75
109,Snowpoint Temple,grass,,any,20,Bronzor,75,75
110,Snowpoint Temple,grass,,any,20,Bronzor,75,75
111,Snowpoint Temple,grass,,any,20,Bronzor,75,75
172,Route 225,grass,,any,20,Carnivine,65,65
173,Route 227,grass,,any,20,Cacnea,55,55
174,Route 228,grass,,any,20,Gastrodon,55,55
175,Route 229,grass,,any,20,Illumise,65,65
181,Route 226,grass,,any,20,Graveler,55,55
182,Route 230,grass,,any,20,Jigglypuff,55,55
56,Stark Mountain,grass,,any,20,Rhydon,95,95
57,Stark Mountain,grass,,any,20,Donphan,90,90
170,Route 222,grass,,any,20,Pachirisu,50,50
3,Sunyshore City,grass,,any,20,Pelipper,85,85
169,Route 221,grass,,any,20,Roserade,90,90
161,Route 212,grass,,any,20,Lickitung,55,55
113,Wayward Cave,grass,,any,20,Sandslash,55,55
112,Wayward Cave,grass,,any,20,Lairon,75,75
137,Lake Acuity,grass,,any,20,Ursaring,65,65
11,Mt Coronet 2f,grass,,any,20,Dugtrio,90,90
12,Mt Coronet 3f,grass,,any,20,Electrode,90,90
13,Coronet Highlands,grass,,any,20,Glalie,100,100
14,Coronet Highlands,grass,,any,20,Gengar,100,100
15,Coronet Highlands,grass,,any,20,Electrode,100,100
16,Coronet Highlands,grass,,any,20,Crobat,100,100
19,Celestica Ruins,grass,,any,20,Larvitar,65,65
17,Coronet Highlands,grass,,any,20,Gengar,100,100
18,Coronet Highlands,grass,,any,20,Gengar,100,100
190,Distortion World Area 1,grass,,any,20,Nidoqueen,55,55
191,Distortion World Area 2,grass,,any,20,Electrode,100,100
192,Distortion World Area 3,grass,,any,20,Wobbuffet,65,65
59,Sendoff Spring,grass,,any,20,Altaria,65,65
63,Turnback Cave,grass,,any,20,Bronzor,66,66
79,Turnback Cave,grass,,any,20,Sableye,66,66
59,Sendoff Spring,grass,,any,20,Altaria,65,65
47,Victory Road,grass,,any,20,Granbull,97,97
48,Victory Road,grass,,any,20,Nidoqueen,100,100
49,Victory Road,grass,,any,20,Persian,100,100
50,Victory Road,grass,,any,20,Persian,100,100
51,Victory Road,grass,,any,20,Ursaring,100,100
52,Victory Road,grass,,any,20,Gengar,100,100
171,Route 224,grass,,any,20,Venusaur,65,65
136,Lake Valor,grass,,any,20,Staraptor,80,80
4,Pokémon League,grass,,any,20,Eevee,75,75
176,Twinleaf Town,grass,,any,10,Mime Jr.,8,8
140,Route 201,grass,,any,10,Zigzagoon,4,4
140,Verity Lakefront,grass,,any,10,Zigzagoon,4,4
134,Lake Verity,grass,,any,10,Shinx,3,3
135,Lake Verity,grass,,any,10,Shinx,4,4
187,Sandgem Town,grass,,any,10,Skitty,5,5
141,Route 202,grass,,any,10,Pidgey,5,5
143,Route 204 South,grass,,any,10,Shroomish,9,9
53,Ravaged Path,grass,,any,10,Makuhita,7,7
167,Route 218,grass,,any,10,Mr. Mime,30,30
142,Route 203,grass,,any,10,Natu,8,8
54,Oreburgh Gate 1F,grass,,any,10,Zubat,5,5
55,Oreburgh Gate B1F,grass,,any,10,Zubat,5,5
183,Oreburgh City,grass,,any,10,Rattata,10,10
148,Route 207,grass,,any,10,Growlithe,11,11
5,Oreburgh Mine,grass,,any,10,Geodude,10,10
184,Jubilife City,grass,,any,10,Meowth,16,16
144,Route 204 North,grass,,any,10,Shroomish,14,14
185,Floaroma Town,grass,,any,10,Caterpie,6,6
7,Valley Windworks,grass,,any,10,Natu,17,17
145,Route 205 South,grass,,any,10,Ekans,17,17
8,Eterna Forest,grass,,any,10,Wormadam,23,23
146,Route 205 North,grass,,any,10,Ekans,20,20
1,Eterna City,grass,,any,10,Meowth,20,20
158,Route 211 West,grass,,any,10,Spoink,17,17
147,Route 206,grass,,any,10,Stunky,23,23
10,Mt. Coronet 1F,grass,,any,10,Spoink,24,24
149,Route 208,grass,,any,10,Spoink,19,19
,Amity Square,grass,,any,10,Chikorita,20,20
150,Route 209,grass,,any,10,Mankey,36,36
188,Solaceon Town,grass,,any,10,Rapidash,38,38
31,Solaceon Ruins,grass,,any,10,Anorith,37,37
156,Route 210 South,grass,,any,10,Rapidash,41,41
164,Route 215,grass,,any,10,Lickitung,42,42
163,Route 214,grass,,any,10,Mightyena,45,45
116,Maniac Tunnel,grass,,any,10,Hariyama,45,45
138,Valor Lakefront,grass,,any,10,Arcanine,47,47
197,Restaurant,grass,,any,10,Rattata,20,20
162,Route 213,grass,,any,10,Wobbuffet,100,100
2,Pastoria City,grass,,any,10,Croagunk,49,49
23,Great Marsh,grass,,any,10,Shuckle,50,50
24,Great Marsh,grass,,any,10,Shuckle,50,50
25,Great Marsh,grass,,any,10,Absol,50,50
26,Great Marsh,grass,,any,10,Absol,50,50
27,Great Marsh,grass,,any,10,Carnivine,50,50
28,Great Marsh,grass,,any,10,Shiftry,50,50
9,Fuego Ironworks,grass,,any,10,Electrode,55,55
196,Floroma Meadow,grass,,any,10,Meganium,60,60
157,Clamberclaw Cliffs,grass,,any,10,Weezing,45,45
177,Celestic Town,grass,,any,10,Chatot,55,55
159,Route 211,grass,,any,10,Weezing,55,55
21,Mt. Coronet,grass,,any,10,Stantler,65,65
122,Iron Island,grass,,any,10,Donphan,56,56
123,Iron Island,grass,,any,10,Shuckle,56,56
124,Iron Island,grass,,any,10,Rhydon,56,56
198,Underground,grass,,any,10,Nidoran♀,45,45
199,Underground,grass,,any,10,Croagunk,45,45
200,Underground,grass,,any,10,Charmeleon,45,45
201,Underground,grass,,any,10,Zubat,45,45
125,Old Chateau,grass,,any,10,Misdreavus,16,16
126,Old Chateau,grass,,any,10,Misdreavus,16,16
127,Old Chateau,grass,,any,10,Shuppet,36,36
128,Old Chateau,grass,,any,10,Misdreavus,16,16
129,Old Chateau,grass,,any,10,Gastly,16,16
130,Old Chateau,grass,,any,10,Misdreavus,16,16
131,Old Chateau,grass,,any,10,Misdreavus,16,16
132,Old Chateau,grass,,any,10,Misdreavus,16,16
133,Old Chateau,grass,,any,10,Misdreavus,16,16
151,Lost Tower 1F,grass,,any,10,Zubat,24,24
152,Lost Tower 2F,grass,,any,10,Golbat,46,46
153,Lost Tower 3F,grass,,any,10,Raticate,66,66
154,Lost Tower 4F,grass,,any,10,Marowak,78,78
155,Lost Tower 5F,grass,,any,10,Haunter,86,86
195,Lake Valor,grass,,any,10,Magikarp,55,55
20,Mt. Coronet,grass,,any,10,Stantler,65,65
21,Mt. Coronet,grass,,any,10,Stantler,65,65
165,Route 216,grass,,any,10,Medicham,65,65
166,Route 217,grass,,any,10,Delibird,70,70
139,Acuity Lakefront,grass,,any,10,Kadabra,65,65
107,Snowpoint Temple,grass,,any,10,Forretress,75,75
108,Snowpoint Temple,grass,,any,10,Forretress,75,75
109,Snowpoint Temple,grass,,any,10,Forretress,75,75
110,Snowpoint Temple,grass,,any,10,Forretress,75,75
111,Snowpoint Temple,grass,,any,10,Forretress,75,75
172,Route 225,grass,,any,10,Vigoroth,65,65
173,Route 227,grass,,any,10,Torkoal,55,55
174,Route 228,grass,,any,10,Cacnea,55,55
175,Route 229,grass,,any,10,Scyther,65,65
181,Route 226,grass,,any,10,Nidorina,55,55
182,Route 230,grass,,any,10,Miltank,55,55
56,Stark Mountain,grass,,any,10,Typhlosion,95,95
57,Stark Mountain,grass,,any,10,Weezing,90,90
170,Route 222,grass,,any,10,Pelipper,70,70
3,Sunyshore City,grass,,any,10,Electrode,85,85
169,Route 221,grass,,any,10,Swellow,90,90
161,Route 212,grass,,any,10,Grovyle,55,55
113,Wayward Cave,grass,,any,10,Lairon,55,55
112,Wayward Cave,grass,,any,10,Nosepass,75,75
137,Lake Acuity,grass,,any,10,Stantler,65,65
11,Mt Coronet 2f,grass,,any,10,Golem,90,90
12,Mt Coronet 3f,grass,,any,10,Aggron,90,90
13,Coronet Highlands,grass,,any,10,Castform,100,100
14,Coronet Highlands,grass,,any,10,Exploud,100,100
15,Coronet Highlands,grass,,any,10,Wobbuffet,100,100
16,Coronet Highlands,grass,,any,10,Electrode,100,100
19,Celestica Ruins,grass,,any,10,Sableye,65,65
17,Coronet Highlands,grass,,any,10,Electrode,100,100
18,Coronet Highlands,grass,,any,10,Absol,100,100
190,Distortion World Area 1,grass,,any,10,Magmar,54,54
191,Distortion World Area 2,grass,,any,10,Xatu,100,100
192,Distortion World Area 3,grass,,any,10,Gengar,65,65
59,Sendoff Spring,grass,,any,10,Grovyle,65,65
63,Turnback Cave,grass,,any,10,Claydol,66,66
79,Turnback Cave,grass,,any,10,Sableye,66,66
59,Sendoff Spring,grass,,any,10,Grovyle,65,65
47,Victory Road,grass,,any,10,Magmortar,97,97
48,Victory Road,grass,,any,10,Dugtrio,100,100
49,Victory Road,grass,,any,10,Hitmonlee,100,100
50,Victory Road,grass,,any,10,Hitmonlee,100,100
51,Victory Road,grass,,any,10,Flareon,100,100
52,Victory Road,grass,,any,10,Electrode,100,100
171,Route 224,grass,,any,10,Sceptile,65,65
136,Lake Valor,grass,,any,10,Golduck,75,75
4,Pokémon League,grass,,any,10,Sceptile,75,75
176,Twinleaf Town,grass,,any,10,Skitty,8,8
140,Route 201,grass,,any,10,Shinx,4,4
140,Verity Lakefront,grass,,any,10,Shinx,4,4
134,Lake Verity,grass,,any,10,Mareep,3,3
135,Lake Verity,grass,,any,10,Mareep,4,4
187,Sandgem Town,grass,,any,10,Buneary,5,5
141,Route 202,grass,,any,10,Bidoof,5,5
143,Route 204 South,grass,,any,10,Budew,9,9
53,Ravaged Path,grass,,any,10,Psyduck,7,7
167,Route 218,grass,,any,10,Mr. Mime,30,30
142,Route 203,grass,,any,10,Gulpin,8,8
54,Oreburgh Gate 1F,grass,,any,10,Nosepass,5,5
55,Oreburgh Gate B1F,grass,,any,10,Nosepass,5,5
183,Oreburgh City,grass,,any,10,Magby,10,10
148,Route 207,grass,,any,10,Rattata,11,11
5,Oreburgh Mine,grass,,any,10,Phanpy,10,10
184,Jubilife City,grass,,any,10,Ekans,16,16
144,Route 204 North,grass,,any,10,Budew,14,14
185,Floaroma Town,grass,,any,10,Weedle,6,6
7,Valley Windworks,grass,,any,10,Wingull,17,17
145,Route 205 South,grass,,any,10,Nidoran♀,17,17
8,Eterna Forest,grass,,any,10,Shroomish,23,23
146,Route 205 North,grass,,any,10,Nidoran♀,20,20
1,Eterna City,grass,,any,10,Nuzleaf,20,20
158,Route 211 West,grass,,any,10,Machop,17,17
147,Route 206,grass,,any,10,Staravia,23,23
10,Mt. Coronet 1F,grass,,any,10,Voltorb,24,24
149,Route 208,grass,,any,10,Bibarel,18,18
,Amity Square,grass,,any,10,Buneary,20,20
150,Route 209,grass,,any,10,Diglett,36,36
188,Solaceon Town,grass,,any,10,Seviper,38,38
31,Solaceon Ruins,grass,,any,10,Lileep,37,37
156,Route 210 South,grass,,any,10,Seviper,41,41
164,Route 215,grass,,any,10,Nuzleaf,42,42
163,Route 214,grass,,any,10,Rhyhorn,45,45
116,Maniac Tunnel,grass,,any,10,Marowak,45,45
138,Valor Lakefront,grass,,any,10,Ninetales,47,47
197,Restaurant,grass,,any,10,Rattata,20,20
162,Route 213,grass,,any,10,Ludicolo,100,100
2,Pastoria City,grass,,any,10,Croagunk,49,49
23,Great Marsh,grass,,any,10,Muk,50,50
24,Great Marsh,grass,,any,10,Porygon,50,50
25,Great Marsh,grass,,any,10,Ursaring,50,50
26,Great Marsh,grass,,any,10,Victreebel,50,50
27,Great Marsh,grass,,any,10,Arbok,50,50
28,Great Marsh,grass,,any,10,Meganium,50,50
9,Fuego Ironworks,grass,,any,10,Castform,55,55
196,Floroma Meadow,grass,,any,10,Venusaur,60,60
157,Clamberclaw Cliffs,grass,,any,10,Muk,45,45
177,Celestic Town,grass,,any,10,Sudowoodo,55,55
159,Route 211,grass,,any,10,Exploud,55,55
21,Mt. Coronet,grass,,any,10,Medicham,65,65
122,Iron Island,grass,,any,10,Gallade,56,56
123,Iron Island,grass,,any,10,Nosepass,56,56
124,Iron Island,grass,,any,10,Lairon,56,56
198,Underground,grass,,any,10,Nidoran♂,45,45
199,Underground,grass,,any,10,Gulpin,45,45
200,Underground,grass,,any,10,Quilava,45,45
201,Underground,grass,,any,10,Glalie,45,45
125,Old Chateau,grass,,any,10,Misdreavus,56,56
126,Old Chateau,grass,,any,10,Misdreavus,56,56
127,Old Chateau,grass,,any,10,Shuppet,26,26
128,Old Chateau,grass,,any,10,Misdreavus,56,56
129,Old Chateau,grass,,any,10,Gastly,17,17
130,Old Chateau,grass,,any,10,Misdreavus,56,56
131,Old Chateau,grass,,any,10,Misdreavus,56,56
132,Old Chateau,grass,,any,10,Misdreavus,56,56
133,Old Chateau,grass,,any,10,Misdreavus,56,56
151,Lost Tower 1F,grass,,any,10,Stunky,24,24
152,Lost Tower 2F,grass,,any,10,Gastly,46,46
153,Lost Tower 3F,grass,,any,10,Natu,66,66
154,Lost Tower 4F,grass,,any,10,Marowak,78,78
155,Lost Tower 5F,grass,,any,10,Gastly,86,86
195,Lake Valor,grass,,any,10,Magikarp,5,5
20,Mt. Coronet,grass,,any,10,Medicham,65,65
21,Mt. Coronet,grass,,any,10,Medicham,65,65
165,Route 216,grass,,any,10,Stantler,65,65
166,Route 217,grass,,any,10,Absol,70,70
139,Acuity Lakefront,grass,,any,10,Piloswine,65,65
107,Snowpoint Temple,grass,,any,10,Probopass,75,75
108,Snowpoint Temple,grass,,any,10,Probopass,75,75
109,Snowpoint Temple,grass,,any,10,Probopass,75,75
110,Snowpoint Temple,grass,,any,10,Probopass,75,75
111,Snowpoint Temple,grass,,any,10,Probopass,75,75
172,Route 225,grass,,any,10,Victreebel,65,65
173,Route 227,grass,,any,10,Weezing,55,55
174,Route 228,grass,,any,10,Cacturne,55,55
175,Route 229,grass,,any,10,Pinsir,65,65
181,Route 226,grass,,any,10,Nidorino,55,55
182,Route 230,grass,,any,10,Granbull,55,55
56,Stark Mountain,grass,,any,10,Weezing,95,95
57,Stark Mountain,grass,,any,10,Rhyperior,90,90
170,Route 222,grass,,any,10,Wingull,70,70
3,Sunyshore City,grass,,any,10,Manectric,85,85
169,Route 221,grass,,any,10,Scizor,90,90
161,Route 212,grass,,any,10,Marshtomp,55,55
113,Wayward Cave,grass,,any,10,Onix,55,55
112,Wayward Cave,grass,,any,10,Vigoroth,75,75
137,Lake Acuity,grass,,any,10,Stantler,65,65
11,Mt Coronet 2f,grass,,any,10,Ursaring,90,90
12,Mt Coronet 3f,grass,,any,10,Absol,90,90
13,Coronet Highlands,grass,,any,10,Medicham,100,100
14,Coronet Highlands,grass,,any,10,Probopass,100,100
15,Coronet Highlands,grass,,any,10,Wobbuffet,100,100
16,Coronet Highlands,grass,,any,10,Steelix,100,100
19,Celestica Ruins,grass,,any,10,Bronzor,65,65
17,Coronet Highlands,grass,,any,10,Rhyperior,100,100
18,Coronet Highlands,grass,,any,10,Aerodactyl,100,100
190,Distortion World Area 1,grass,,any,10,Vileplume,54,54
191,Distortion World Area 2,grass,,any,10,Persian,100,100
192,Distortion World Area 3,grass,,any,10,Jynx,65,65
59,Sendoff Spring,grass,,any,10,Dusknoir,65,65
63,Turnback Cave,grass,,any,10,Marowak,66,66
79,Turnback Cave,grass,,any,10,Sableye,66,66
59,Sendoff Spring,grass,,any,10,Dusknoir,65,65
47,Victory Road,grass,,any,10,Electivire,97,97
48,Victory Road,grass,,any,10,Manectric,100,100
49,Victory Road,grass,,any,10,Hitmonchan,100,100
50,Victory Road,grass,,any,10,Hitmonchan,100,100
51,Victory Road,grass,,any,10,Gallade,100,100
52,Victory Road,grass,,any,10,Dugtrio,100,100
171,Route 224,grass,,any,10,Roserade,65,65
136,Lake Valor,grass,,any,10,Onix,75,75
4,Pokémon League,grass,,any,10,Blaziken,75,75
176,Twinleaf Town,grass,,any,5,Skitty,8,8
140,Route 201,grass,,any,5,Starly,4,4
140,Verity Lakefront,grass,,any,5,Starly,4,4
134,Lake Verity,grass,,any,5,Spoink,4,4
135,Lake Verity,grass,,any,5,Spoink,4,4
187,Sandgem Town,grass,,any,5,Sandshrew,5,5
141,Route 202,grass,,any,5,Starly,5,5
143,Route 204 South,grass,,any,5,Budew,9,9
53,Ravaged Path,grass,,any,5,Rhyhorn,7,7
167,Route 218,grass,,any,5,Pelipper,30,30
142,Route 203,grass,,any,5,Gulpin,8,8
54,Oreburgh Gate 1F,grass,,any,5,Dunsparce,7,7
55,Oreburgh Gate B1F,grass,,any,5,Dunsparce,7,7
183,Oreburgh City,grass,,any,5,Ekans,10,10
148,Route 207,grass,,any,5,Growlithe,11,11
5,Oreburgh Mine,grass,,any,5,Zubat,10,10
184,Jubilife City,grass,,any,5,Spoink,16,16
