ID Number,Name,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level,Move,Level
16,PIDGEY,Tackle,1,Peck,5,Mud-Slap,9,Gust,13,Secret Power,17,Twister,21,Wing Attack,25,Whirlwind,29,Double-Edge,33,Steel Wing,37,Brave Bird,41,Mirror Move,45,Quick Attack,49,,,,,,,,,,,,,,,,
17,PIDGEOTTO,Tackle,1,Sand-Attack,1,Gust,1,Peck,5,Mud-Slap,9,Gust,13,Secret Power,17,Whirlwind,22,Wing Attack,27,Roar,32,Double-Edge,37,Brave Bird,42,Steel Wing,47,Mirror Move,52,Quick Attack,57,,,,,,,,,,,,
18,PIDGEOT,Double-Edge,1,Sand-Attack,1,Gust,1,Air Slash,1,Peck,5,Mud-Slap,9,Gust,13,Secret Power,17,Twister,22,Wing Attack,27,Whirlwind,32,Twister,38,Steel Wing,44,Brave Bird,60,Mirror Move,65,ExtremeSpeed,72,,,,,,,,,,
19,RATTATA,Tackle,1,Endeavor,1,Quick Attack,4,Astonish,7,Bite,10,Hyper Fang,13,Focus Energy,16,Crunch,22,Double-Edge,30,Super Fang,33,Sucker Punch,38,Quick Attack,42,Facade,45,,,,,,,,,,,,,,,,
20,RATICATE,Endeavor,1,Tackle,1,Dig,1,Quick Attack,1,Focus Energy,1,Quick Attack,4,Bite,7,Pursuit,10,Quick Attack,13,Hyper Fang,16,Assurance,19,Crunch,25,Slash,28,Dig,35,Quick Attack,42,Super Fang,48,Sucker Punch,59,,,,,,,,
21,SPEAROW,Peck,1,Tackle,1,Fury Attack,5,Faint Attack,9,Aerial Ace,13,Mirror Move,17,Assurance,21,Drill Peck,25,Focus Energy,29,Steel Wing,33,Quick Attack,37,,,,,,,,,,,,,,,,,,,,
22,FEAROW,Pluck,1,Slash,1,Rage,1,Quick Attack,1,Pluck,1,Pursuit,5,Fury Attack,9,Aerial Ace,13,Mirror Move,17,Assurance,25,Drill Peck,29,Steel Wing,35,Focus Energy,41,Quick Attack,47,,,,,,,,,,,,,,
23,EKANS,Wrap,1,Acid,1,Glare,4,Mud Bomb,9,Bite,10,Poison Sting,17,Wrap,20,Crunch,25,Earthquake,28,Poison Fang,33,Glare,36,Super Fang,36,Swallow,36,Gunk Shot,41,,,,,,,,,,,,,,
24,ARBOK,Ice Fang,1,Thunder Fang,1,Fire Fang,1,Wrap,1,Haze,1,Secret Power,1,Pursuit,1,Acid,4,Mud Bomb,9,Glare,12,Bite,17,Poison Sting,20,Wrap,22,Crunch,28,Earthquake,33,Poison Fang,42,Glare,45,Super Fang,48,Swallow,67,Gunk Shot,72,,
25,PIKACHU,Swift,1,ThunderShock,1,Tackle,5,Thunder Wave,10,Shock Wave,13,Quick Attack,18,Iron Tail,21,Seismic Toss,26,Thunderbolt,29,Thunder Wave,34,Double-Edge,37,Submission,42,Volt Tackle,45,,,,,,,,,,,,,,,,
26,RAICHU,Surf,1,Quick Attack,1,Focus Blast,1,Discharge,1,Magnet Rise,78,Focus Blast,85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,SANDSHREW,Sand-Attack,1,Scratch,3,Metal Claw,7,Poison Sting,9,Dig,13,Slash,17,Rock Throw,19,Gyro Ball,21,Drill Run,25,Rock Slide,27,X-Scissor,31,Earthquake,33,Crush Claw,37,,,,,,,,,,,,,,,,
28,SANDSLASH,Body Slam,1,Slash,1,Sand-Attack,1,Sand Tomb,3,Mud-Slap,7,Poison Sting,9,Metal Claw,13,Sand-Attack,15,Aerial Ace,19,Fury Swipes,21,Slash,22,Drill Run,25,Rock Slide,33,Shadow Claw,36,X-Scissor,45,Earthquake,47,Triple Axel,64,Crush Claw,73,Bulldoze,75,,,,
29,NIDORAN♀,Poison Sting,1,Scratch,1,Double Kick,7,Bite,9,Sludge,13,Dig,19,Body Slam,21,Drill Run,25,Crunch,31,Toxic,33,Earth Power,37,Poison Fang,43,Shadow Ball,45,,,,,,,,,,,,,,,,
30,NIDORINA,Poison Sting,1,Scratch,1,Bite,7,Double Kick,9,Sludge,13,Dig,20,Body Slam,23,Drill Run,28,Poison Jab,35,Drill Peck,38,Earth Power,43,Shadow Claw,50,Poison Fang,58,,,,,,,,,,,,,,,,
31,NIDOQUEEN,Thunderbolt,1,Ice Beam,1,Earth Power,1,Superpower,1,Crunch,23,Poison Fang,48,Earthquake,58,Roar,60,Poison Tail,68,,,,,,,,,,,,,,,,,,,,,,,,
32,NIDORAN♂,Acid,1,Tackle,1,Peck,7,Double Kick,9,Poison Sting,13,Fury Attack,19,Earth Power,21,Drill Peck,25,Poison Fang,31,Thrash,33,Punishment,37,Megahorn,43,Head Smash,55,,,,,,,,,,,,,,,,
33,NIDORINO,Acid,1,Tackle,1,Peck,7,Double Kick,9,Poison Sting,13,Fury Attack,20,Earth Power,23,Drill Peck,28,Poison Fang,35,Drill Run,38,Megahorn,43,Punishment,50,Head Smash,75,,,,,,,,,,,,,,,,
34,NIDOKING,Poison Tail,1,Drill Peck,1,Punishment,1,Double-Edge,1,Poison Jab,23,Megahorn,43,Earthquake,58,Roar,62,,,,,,,,,,,,,,,,,,,,,,,,,,
35,CLEFAIRY,Pound,1,Swift,1,Lucky Chant,4,Metronome,7,DoubleSlap,10,Seismic Toss,13,Cosmic Power,19,Tri Attack,22,Wake-Up Slap,25,Psychic,28,Lucky Chant,31,Take Down,34,Meteor Mash,37,Shadow Ball,40,Gravity,43,Double-Edge,46,,,,,,,,,,
36,CLEFABLE,ThunderPunch,1,Teleport,1,Metronome,1,Tri Attack,1,Air Slash,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,VULPIX,Ember,1,Quick Attack,4,Roar,7,Confuse Ray,11,Flame Wheel,14,Payback,17,Aurora Beam,19,Bite,21,Flamethrower,24,Will-O-Wisp,27,Grudge,31,Fire Blast,34,Extrasensory,37,Roar,41,Energy Ball,44,Mystical Fire,50,Blast Burn,68,,,,,,,,
38,NINETALES,Roar,1,Confuse Ray,1,Fire Blast,1,Imprison,1,Dark Pulse,1,Disable,28,Flamethrower,40,Extrasensory,47,,,,,,,,,,,,,,,,,,,,,,,,,,
39,JIGGLYPUFF,Pound,1,Sing,5,DoubleSlap,9,Water Pulse,13,Gyro Ball,17,Body Slam,21,Submission,25,Shadow Ball,29,Double-Edge,33,Copycat,37,Explosion,41,Focus Blast,45,Hyper Voice,49,Teleport,52,,,,,,,,,,,,,,
40,WIGGLYTUFF,Sing,1,Hyper Voice,1,Submission,1,Teleport,1,Explosion,60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,ZUBAT,Leech Life,1,Supersonic,5,Wing Attack,9,Poison Sting,13,Steel Wing,17,Bite,21,Aerial Ace,25,Poison Jab,29,Confuse Ray,33,Crunch,37,Brave Bird,41,Poison Fang,45,,,,,,,,,,,,,,,,,,
42,GOLBAT,Cross Poison,1,Leech Life,1,Wing Attack,1,Poison Jab,1,Supersonic,5,Wing Attack,9,Poison Jab,13,Steel Wing,17,Whirlwind,21,Aerial Ace,27,Poison Jab,33,Confuse Ray,39,Crunch,45,Brave Bird,65,Poison Fang,70,,,,,,,,,,,,
43,ODDISH,Absorb,1,Sweet Scent,5,Razor Leaf,9,Acid,13,Magical Leaf,15,Stun Spore,17,Sludge,21,Mega Drain,25,Sleep Powder,29,Lucky Chant,33,Sludge Bomb,37,Petal Dance,41,,,,,,,,,,,,,,,,,,
44,GLOOM,Absorb,1,Body Slam,1,Poison Sting,1,Sweet Scent,5,Razor Leaf,9,Acid,13,Magical Leaf,15,Stun Spore,17,Sludge,23,Mega Drain,29,Sleep Powder,35,Lucky Chant,41,Sludge Bomb,47,Petal Dance,53,,,,,,,,,,,,,,
45,VILEPLUME,Body Slam,1,Aromatherapy,1,Stun Spore,1,Sludge Bomb,1,Petal Dance,53,Sleep Powder,65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,PARAS,Slash,1,Leech Life,6,Stun Spore,6,Absorb,11,Mega Drain,17,Aerial Ace,22,Spore,30,Seed Bomb,33,Aromatherapy,38,X-Scissor,43,,,,,,,,,,,,,,,,,,,,,,
47,PARASECT,Aerial Ace,1,Slash,1,Helping Hand,1,Mega Drain,1,Body Slam,1,Leech Life,6,Stun Spore,6,Giga Drain,11,Cross Poison,17,Bug Bite,22,Spore,34,Seed Bomb,39,Aromatherapy,47,X-Scissor,55,,,,,,,,,,,,,,
48,VENONAT,Tackle,1,Disable,1,Supersonic,1,Leech Life,3,Psybeam,11,Sludge,13,Stun Spore,17,Mega Drain,23,Bug Bite,25,Poison Fang,29,Sleep Powder,35,Zen Headbutt,37,Signal Beam,41,Sludge Bomb,47,,,,,,,,,,,,,,
49,VENOMOTH,Foresight,1,Leech Life,1,Disable,1,Zen Headbutt,1,Toxic,1,Bug Bite,5,Supersonic,11,Psybeam,13,Sludge,17,Silver Wind,23,Stun Spore,25,Poison Fang,29,Giga Drain,31,Signal Beam,37,Sleep Powder,41,Sludge Bomb,47,Psychic,55,Bug Buzz,59,,,,,,
50,DIGLETT,Scratch,1,Sand-Attack,1,Dig,4,Faint Attack,7,Dig,12,Metal Claw,15,Slash,18,Rock Slide,23,Dig,26,Aerial Ace,29,Night Slash,34,Stone Edge,37,Earthquake,40,,,,,,,,,,,,,,,,
51,DUGTRIO,Earth Power,1,Tri Attack,1,Scratch,1,Sand-Attack,1,Sludge Bomb,1,Sand Tomb,4,Rock Throw,7,Mud-Slap,12,Dig,15,Pursuit,18,Slash,23,Rock Slide,26,Headbutt,28,Aerial Ace,33,Night Slash,40,Stone Edge,60,Earthquake,65,,,,,,,,
52,MEOWTH,Scratch,1,Dig,1,Growl,5,Bite,6,Pay Day,9,Metal Claw,14,Faint Attack,17,Power Gem,20,Slash,22,Night Slash,25,Aerial Ace,30,Fake Out,33,Body Slam,38,Iron Tail,41,Shadow Claw,46,Feint,49,Fury Swipes,54,,,,,,,,
53,PERSIAN,Scratch,1,Headbutt,1,Double-Edge,1,Pursuit,1,Power Gem,1,Bite,6,Pay Day,9,Metal Claw,14,Faint Attack,17,Slash,22,Night Slash,25,Knock Off,28,Aerial Ace,32,Fake Out,35,Pursuit,38,Body Slam,44,Iron Tail,49,Shadow Claw,56,Feint,61,Fury Swipes,68,,
54,PSYDUCK,Water Gun,1,Scratch,1,Headbutt,5,Psybeam,9,Water Pulse,14,Disable,18,Zen Headbutt,22,Ice Punch,27,Brine,31,Submission,35,Psychic,40,Ice Beam,44,Hydro Pump,48,,,,,,,,,,,,,,,,
55,GOLDUCK,Confusion,1,Water Gun,1,Scratch,1,Psybeam,1,Headbutt,1,Aurora Beam,5,Water Pulse,9,Disable,14,Cross Chop,18,Zen Headbutt,22,Ice Punch,27,Dive,33,Focus Blast,37,Psychic,44,Ice Beam,50,Hydro Pump,56,,,,,,,,,,
56,MANKEY,Counter,1,Scratch,1,DoubleSlap,1,Uproar,1,Karate Chop,5,Faint Attack,9,Double Kick,13,Low Kick,17,Rock Throw,21,Assurance,25,Cross Chop,33,Rage,37,Rock Slide,41,Punishment,45,Close Combat,49,,,,,,,,,,,,
57,PRIMEAPE,Fling,1,Scratch,1,Low Kick,1,Uproar,1,Pursuit,1,Fury Swipes,9,Karate Chop,13,Seismic Toss,17,Rock Throw,21,Assurance,25,Rage,28,Cross Chop,35,Rock Slide,41,Rage,47,Punishment,69,Close Combat,70,,,,,,,,,,
58,GROWLITHE,Ember,1,Bite,1,Tackle,6,Roar,9,Flame Wheel,14,Body Slam,17,Iron Head,20,Roar,28,Double-Edge,31,Fire Fang,34,Crunch,39,Teleport,42,Thunder Fang,45,Flare Blitz,65,,,,,,,,,,,,,,
59,ARCANINE,Thunder Fang,1,Crunch,1,Rock Slide,1,Fire Spin,1,Roar,1,ExtremeSpeed,79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,POLIWAG,Pound,1,Bubble,5,Mud-Slap,8,Water Gun,11,DoubleSlap,15,BubbleBeam,18,Body Slam,21,Water Pulse,25,Mud Bomb,28,Ice Beam,31,Wake-Up Slap,35,Hydro Pump,38,Hypnosis,41,,,,,,,,,,,,,,,,
61,POLIWHIRL,Submission,1,Seismic Toss,1,Bubble,1,Bubble,5,Mud Bomb,8,Water Gun,11,DoubleSlap,15,Body Slam,21,Brick Break,25,Dive,27,Mud Shot,32,Ice Punch,37,Wake-Up Slap,43,Hydro Pump,48,Hypnosis,53,,,,,,,,,,,,
62,POLIWRATH,BubbleBeam,1,Hypnosis,1,Body Slam,1,Submission,1,Ice Punch,43,Hydro Pump,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,ABRA,Teleport,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
64,KADABRA,Teleport,1,Kinesis,1,Fire Punch,1,Confusion,16,Psycho Cut,18,Teleport,22,Disable,24,Psybeam,28,Future Sight,30,Miracle Eye,34,Teleport,36,Psychic,40,Recover,42,Role Play,46,,,,,,,,,,,,,,
65,ALAKAZAM,Teleport,1,Kinesis,1,Fire Punch,1,Confusion,16,Psycho Cut,18,Teleport,22,Disable,24,Psybeam,28,Future Sight,30,Miracle Eye,34,Teleport,36,Psychic,40,Recover,42,Role Play,46,,,,,,,,,,,,,,
66,MACHOP,Karate Chop,1,Pound,1,Rock Throw,7,Seismic Toss,10,Wake-Up Slap,13,Mega Punch,19,Fire Punch,22,Vital Throw,25,Low Kick,31,SmellingSalt,34,ThunderPunch,37,Ice Punch,43,Cross Chop,46,Mega Kick,52,,,,,,,,,,,,,,
67,MACHOKE,Brick Break,1,Low Kick,1,Vital Throw,1,Mega Punch,7,Karate Chop,10,Fire Punch,13,Seismic Toss,19,ThunderPunch,22,Wake-Up Slap,25,SmellingSalt,32,Submission,36,Rock Slide,40,Payback,44,Cross Chop,56,Mega Kick,100,,,,,,,,,,,,
68,MACHAMP,Mach Punch,1,Close Combat,1,Bullet Punch,1,Meteor Mash,7,Feint,10,Dizzy Punch,13,Seismic Toss,19,Mega Kick,22,Mega Punch,25,Seismic Toss,32,Superpower,36,Ice Punch,40,ThunderPunch,44,Cross Chop,51,Mach Punch,99,,,,,,,,,,,,
69,BELLSPROUT,Vine Whip,1,Acid,7,Wrap,11,Sweet Scent,13,Razor Leaf,15,Poison Sting,17,Slam,23,Stun Spore,27,Mega Drain,29,Gunk Shot,43,Swallow,49,Gastro Acid,50,Power Whip,60,,,,,,,,,,,,,,,,
70,WEEPINBELL,Sleep Powder,1,Razor Leaf,1,Swallow,1,Acid,7,PoisonPowder,11,Magical Leaf,13,Wrap,15,Poison Jab,17,Stun Spore,23,Magical Leaf,29,Leech Life,29,Poison Jab,35,Wring Out,43,Gastro Acid,54,Leaf Storm,57,,,,,,,,,,,,
71,VICTREEBEL,Sweet Scent,1,Acid,1,Gastro Acid,1,Bug Bite,1,Power Whip,1,Swallow,1,Leaf Storm,5,Gunk Shot,47,Wring Out,47,,,,,,,,,,,,,,,,,,,,,,,,
72,TENTACOOL,Poison Sting,1,Acid,5,Psybeam,8,BubbleBeam,12,Signal Beam,15,Poison Jab,19,Confuse Ray,22,Water Pulse,26,Wrap,29,Sludge Bomb,33,Ice Beam,36,Hydro Pump,40,Toxic,43,,,,,,,,,,,,,,,,
73,TENTACRUEL,Power Gem,1,Aurora Beam,1,Psybeam,1,Acid,5,Water Pulse,8,Absorb,12,Signal Beam,15,Poison Jab,19,BubbleBeam,22,Confuse Ray,26,Wrap,29,Sludge Bomb,36,Brine,42,Toxic,49,Hydro Pump,72,,,,,,,,,,,,
74,GEODUDE,Tackle,1,Rock Throw,1,Mud Bomb,4,Headbutt,8,Karate Chop,11,Selfdestruct,15,Dig,18,Rock Slide,22,Fire Punch,25,Explosion,29,Hammer Arm,32,Selfdestruct,36,Earthquake,39,Stone Edge,46,Explosion,52,,,,,,,,,,,,
75,GRAVELER,Submission,1,Take Down,1,ThunderPunch,1,Hammer Arm,1,Dig,4,Body Slam,8,Rock Slide,11,Selfdestruct,15,Double-Edge,18,Gyro Ball,22,Rock Blast,27,Explosion,33,Selfdestruct,38,Earthquake,44,Rollout,99,,,,,,,,,,,,
76,GOLEM,Rock Blast,1,ThunderPunch,1,Submission,1,Roar,1,Fire Punch,4,Body Slam,8,Rock Slide,11,Selfdestruct,15,Gyro Ball,18,Rollout,22,Double-Edge,27,Explosion,33,Selfdestruct,38,Earthquake,44,Head Smash,100,,,,,,,,,,,,
77,PONYTA,Ember,1,Quick Attack,1,Stomp,6,Flame Wheel,10,Double Kick,15,Take Down,19,Bounce,24,Blaze Kick,28,Drill Run,33,Double-Edge,37,Hi Jump Kick,42,Flare Blitz,46,,,,,,,,,,,,,,,,,,
78,RAPIDASH,Poison Jab,1,Heat Wave,1,Fire Spin,1,Quick Attack,1,Double Kick,1,Ember,1,Stomp,6,Body Slam,10,Flame Wheel,15,Take Down,19,Bounce,24,Drill Run,28,Blaze Kick,33,Double-Edge,37,Megahorn,40,Jump Kick,47,Flare Blitz,56,,,,,,,,
79,SLOWPOKE,Headbutt,1,Tackle,1,Water Gun,1,Confusion,11,Water Pulse,15,Disable,20,Body Slam,25,Zen Headbutt,29,Dive,34,Yawn,39,Psychic,48,Hydro Pump,53,Slack Off,57,Swallow,60,,,,,,,,,,,,,,
80,SLOWBRO,Tackle,1,Swift,1,Water Gun,1,Signal Beam,1,Ice Punch,6,Headbutt,11,Confusion,15,Water Pulse,20,Teleport,25,Body Slam,29,Zen Headbutt,34,Brine,37,Yawn,41,Teleport,47,Psychic,54,Hydro Pump,61,Slack Off,97,,,,,,,,
81,MAGNEMITE,Tackle,1,Supersonic,1,ThunderShock,6,SonicBoom,14,Shock Wave,23,Flash Cannon,25,Selfdestruct,27,Tri Attack,30,Magnet Bomb,33,Discharge,38,Explosion,43,Signal Beam,46,Mirror Shot,55,Zap Cannon,64,,,,,,,,,,,,,,
82,MAGNETON,Iron Head,1,Wild Charge,1,Tackle,1,Gyro Ball,1,Supersonic,1,ThunderShock,6,Tri Attack,11,Thunder Wave,17,Shock Wave,22,Signal Beam,27,Selfdestruct,30,Magnet Bomb,34,Discharge,40,Explosion,46,Teleport,50,Flash Cannon,54,Thunderbolt,60,,,,,,,,
83,FARFETCH’D,Night Slash,1,Peck,1,Sand-Attack,1,Quick Attack,1,False Swipe,1,Poison Jab,7,Brick Break,9,Focus Energy,13,Slash,19,Aerial Ace,21,Leaf Blade,25,Body Slam,31,Yawn,33,Brave Bird,37,Feint,43,False Swipe,45,,,,,,,,,,
84,DODUO,Peck,1,Double Kick,1,Faint Attack,5,Scratch,10,Pluck,14,Secret Power,19,Metal Claw,23,Aerial Ace,28,Double Hit,34,Pursuit,39,Jump Kick,41,Drill Peck,46,,,,,,,,,,,,,,,,,,
85,DODRIO,Mega Kick,1,Peck,1,Pluck,1,Slash,1,Steel Wing,1,Fury Attack,5,Bounce,10,Body Slam,14,Swift,19,Iron Tail,23,Drill Peck,28,Drill Run,33,Jump Kick,41,Pursuit,51,Drill Peck,54,Whirlwind,60,Brave Bird,80,,,,,,,,
86,SEEL,Water Gun,1,Powder Snow,3,Aurora Beam,7,BubbleBeam,11,Bite,13,Take Down,17,Aurora Beam,21,Water Pulse,23,Body Slam,27,Drill Run,31,Ice Fang,37,Aqua Tail,41,Megahorn,43,Hydro Pump,47,Ice Beam,48,Aqua Jet,71,,,,,,,,,,
87,DEWGONG,Headbutt,1,Supersonic,1,Double-Edge,1,Whirlpool,1,Swift,3,Signal Beam,7,Powder Snow,11,BubbleBeam,13,Dive,17,Take Down,21,Water Pulse,23,Aurora Beam,27,Body Slam,31,Drill Run,33,Ice Fang,41,Roar,48,Double-Edge,53,Hydro Pump,58,Ice Beam,62,Megahorn,65,,
88,GRIMER,Toxic,1,Lick,1,Disable,4,Mud Bomb,7,Shadow Punch,12,Sludge Bomb,17,Selfdestruct,20,Body Slam,23,Payback,28,Poison Jab,33,Explosion,36,Brick Break,39,Fling,44,Gunk Shot,49,Imprison,55,Shadow Sneak,58,,,,,,,,,,
89,MUK,Fire Punch,1,Ice Punch,1,Lick,1,Poison Gas,1,Imprison,1,Body Slam,4,Mud Bomb,7,Shadow Punch,17,Explosion,20,Brick Break,23,Sweet Kiss,25,Payback,28,Poison Jab,33,Selfdestruct,36,Recover,40,Explosion,44,Disable,47,Fling,54,Gunk Shot,65,Shadow Sneak,70,,
90,SHELLDER,Teleport,1,Take Down,4,Supersonic,8,Water Pulse,13,Powder Snow,16,Teleport,17,Selfdestruct,25,ViceGrip,28,Poison Fang,32,Explosion,37,Hydro Pump,40,Teleport,44,Icicle Spear,49,Clamp,75,,,,,,,,,,,,,,
91,CLOYSTER,Toxic,1,Rock Blast,1,Supersonic,1,Selfdestruct,2,Explosion,3,ViceGrip,28,Icicle Spear,69,Aqua Cutter,72,,,,,,,,,,,,,,,,,,,,,,,,,,
92,GASTLY,Confuse Ray,1,Teleport,1,Lick,5,Smog,8,Dark Pulse,19,Night Shade,35,Teleport,39,Sludge,42,Ominous Wind,49,Poison Gas,52,Teleport,53,Sludge Bomb,56,Shadow Ball,60,Hypnosis,63,,,,,,,,,,,,,,
93,HAUNTER,Night Shade,1,Confuse Ray,1,Lick,1,Teleport,5,Sludge,8,Ice Punch,32,Shadow Punch,42,Teleport,43,Poison Jab,44,Fire Punch,45,Shadow Claw,49,Toxic,52,Teleport,53,Sludge Bomb,54,Shadow Ball,60,Hypnosis,65,,,,,,,,,,
94,GENGAR,Confuse Ray,1,Lick,1,Teleport,1,Sludge,5,Ice Punch,8,Mimic,12,Night Shade,15,Teleport,19,Poison Jab,22,Fire Punch,39,Shadow Punch,42,Dark Pulse,52,Sludge Bomb,53,Submission,54,Shadow Claw,70,Explosion,75,,,,,,,,,,
95,ONIX,Roar,1,Tackle,1,Rock Throw,1,Wrap,1,Dig,6,Roar,9,Secret Power,14,Bite,17,Rock Slide,22,Take Down,25,Selfdestruct,30,Power Gem,33,Double-Edge,38,Explosion,41,Roar,46,Earthquake,49,Stone Edge,54,,,,,,,,
96,DROWZEE,Pound,1,Confusion,1,Teleport,7,Take Down,9,Headbutt,15,Psybeam,18,Disable,21,Teleport,28,Double-Edge,29,Psychic,52,Flatter,53,Teleport,54,Submission,59,Zen Headbutt,63,Hypnosis,69,,,,,,,,,,,,
97,HYPNO,Teleport,1,Confusion,1,Headbutt,1,Dream Eater,1,Future Sight,1,Flatter,1,Disable,7,ThunderPunch,9,Ice Punch,15,Fire Punch,18,Teleport,21,Double-Edge,28,Signal Beam,33,Psychic,38,Role Play,45,Teleport,50,Submission,55,Zen Headbutt,64,Hypnosis,69,,,,
98,KRABBY,Scratch,1,Mud Shot,1,Metal Claw,5,BubbleBeam,9,Slash,11,Dig,15,Ice Punch,19,Dive,21,Rock Slide,25,Hammer Arm,29,ViceGrip,31,Night Slash,35,Superpower,39,X-Scissor,41,Crabhammer,45,,,,,,,,,,,,
99,KINGLER,False Swipe,1,Fling,1,Ice Punch,1,X-Scissor,5,Crush Claw,9,Body Slam,11,Metal Claw,15,Dive,19,Hammer Arm,21,Rock Slide,25,Slam,32,ViceGrip,37,Night Slash,44,Superpower,51,Crush Claw,56,Crabhammer,63,,,,,,,,,,
100,VOLTORB,Gyro Ball,1,ThunderShock,5,Tackle,8,Shock Wave,12,SonicBoom,15,Swift,19,Selfdestruct,22,Discharge,26,Flash Cannon,29,Signal Beam,33,Explosion,36,Thunderbolt,40,Selfdestruct,43,Thunder Wave,47,,,,,,,,,,,,,,
